id;name;price;stock
e182115a-63d2-42ce-8fe0-5f696ecdfba6;Brilliant Watch;250.00;2
f9a6d214-1c38-47ab-a61c-c99a59438b12;Old fashion cellphone;24.00;2
1f1321bb-0542-45d0-9601-2a3d007d5842;Modern iPhone;1000.00;2
f5384efc-eadb-4d7b-a131-36516269c218;Beautiful Sunglasses;12.00;2
6d6ca89d-fbc2-4fc2-93d0-6ee46ae97345;Stylish Cup;8.00;2
efe0c7a3-9835-4dfb-87e1-575b7d06701a;Herb caps;12.00;2
x341115a-63d2-42ce-8fe0-5f696ecdfca6;Audiophile Headphones;550.00;2
42860491-9f15-43d4-adeb-0db2cc99174a;Digital Camera;225.00;2
63a3c635-4505-4588-8457-ed04fbb76511;Empty Bluray Disc;5.00;2
97a19842-db31-4537-9241-5053d7c96239;256GB Pendrive;60.00;2
97a19842-db31-4537-9241-505111c96239;Mac book air;1500.00;5
97a19842-db31-4537-9999-5053d7c96239;iPhone 15 pro Max;999.00;7
97a19844-d431-4557-9241-5053d7c96239;Xiaomi phone;899.00;5
97a19842-db31-4537-9666-5053d7c96239;Sun glasses;100.00;9
97a12345-db31-4537-9241-5053d7c96239;512GB Pendrive;90.00;3
97a19842-db31-4537-9241-5053d7796231;Pen;2.00;20
97a19842-db31-4537-9241-5053d7c96232;Pencil;1.00;200
97a19842-db31-4537-9241-5053d7c96233;Paper A4;10.00;50
97a19842-db31-4537-9241-5053d7c96234;Paper A3;15.00;200
97a19842-db31-4537-9241-5053d7c96235;Super eraser;6.00;70
97a19842-db31-4537-9241-5053d7c96236;Nuts;7.00;25
97a19842-db31-4537-9241-5053d7c96237;Cake;10.00;29
97a19842-db31-4537-9241-5053d7c96238;Bread;6.00;49
